steamspy_tags,avg(average_playtime)
Blood,0.0
Pirates,223.32258064516128
Fantasy,458.69565217391306
Open World,1427.119341563786
Realistic,3963.157894736842
Dark Fantasy,1867.1666666666667
Steam Trading Cards,1567.0
First-Person,332.1208791208791
Sniper,407.375
3D,1.0
Skateboarding,18.2
Design & Illustration,112.9375
Skating,19.0
Demons,96.66666666666667
Score Attack,0.0
Naval,130.10256410256412
Minimalist,42.483870967741936
Software Training,19.90909090909091
Diplomacy,0.0
Villain Protagonist,189.0
Text-Based,7.3478260869565215
Gun Customization,869.0
Time Manipulation,110.33333333333333
Gambling,1166.3333333333333
Multiplayer,1031.7086419753086
Online Multi-Player,1567.0
Vampire,228.11764705882354
Tower Defense,222.1904761904762
Dungeons & Dragons,32.5
Pool,349.0
Loot,96.0
2D,111.69325153374233
Procedural Generation,1454.4
Real Time Tactics,179.0
Local Co-Op,90.08928571428571
NSFW,0.0
Spelling,5.333333333333333
Web Publishing,117.66666666666667
Photo Editing,644.375
Choices Matter,212.59375
Cinematic,0.0
Violent,30.8697247706422
Utilities,119.59420289855072
Pinball,40.6
Local Multiplayer,90.8375
Comic Book,0.0
Shooter,587.4752475247525
Interactive Fiction,59.5
Real-Time,0.0
Logic,0.0
Turn-Based Combat,449.5238095238095
GameMaker,0.0
Third-Person Shooter,275.35714285714283
Gothic,703.0
Game Development,118.78260869565217
Swordplay,181.42857142857142
Base-Building,1116.1923076923076
Mystery,142.0151515151515
Funny,460.76363636363635
Experimental,0.0
Rogue-lite,98.35
Tactical,404.1764705882353
Steampunk,144.66666666666666
Supernatural,129.0
Post-apocalyptic,519.3
Anime,462.2806691449814
Chess,7.5625
Puzzle-Platformer,32.152542372881356
Intentionally Awkward Controls,0.0
Tanks,1087.8095238095239
Submarine,33.5
Survival Horror,468.8235294117647
Time Travel,0.0
Hack and Slash,696.9518072289156
LEGO,645.2272727272727
Online Co-Op,283.1111111111111
Wrestling,152.625
Mature,452.0810810810811
Story Rich,617.9685534591194
Arena Shooter,488.4
Agriculture,317.2083333333333
Lemmings,115.0
FMV,26.323529411764707
Dragons,180.91666666666666
Fishing,107.17647058823529
Singleplayer,160.61490683229815
Board Game,300.26666666666665
Grid-Based Movement,0.0
Mouse only,0.0
Offroad,212.23529411764707
Dog,73.71428571428571
Bowling,627.5
Music,189.23809523809524
Political,112.28571428571429
360 Video,0.0
Parody,17.0
Futuristic,54.0
6DOF,43.0
MMORPG,2626.4193548387098
Point & Click,96.55081300813008
Character Action Game,452.4
Movie,218.0
Baseball,32.72727272727273
Sci-fi,303.3630573248408
God Game,224.8
Clicker,868.75
Software,3238.1875
Snowboarding,0.0
FPS,470.479012345679
Star Wars,263.7857142857143
Narration,80.66666666666667
Side Scroller,25.666666666666668
Nudity,90.79298245614035
Zombies,466.4240506329114
Flight,1146.96875
Alternate History,0.0
Dark Humor,325.6666666666667
Soccer,874.7777777777778
Cycling,0.0
Aliens,18.88888888888889
Rhythm,86.58333333333333
Werewolves,68.33333333333333
Retro,1833.0
Co-op,528.65
Touch-Friendly,190.0
Rome,280.75
Great Soundtrack,263.44
Assassin,672.7272727272727
Illuminati,215.77777777777777
Beautiful,2.6666666666666665
Sandbox,1485.840425531915
Cute,400.575
Surreal,83.47368421052632
Warhammer 40K,282.6896551724138
Driving,607.3559322033898
Physics,123.58490566037736
Masterpiece,0.5714285714285714
Turn-Based Tactics,163.45454545454547
Space,369.3777777777778
Remake,558.2222222222222
Quick-Time Events,86.33333333333333
Spectacle fighter,57.0
Psychological,227.5
Games Workshop,314.8
Horror,177.5314401622718
Short,37.0625
Dark,122.8
Puzzle,123.37544802867383
Snow,0.0
Early Access,80.94472531176272
Hidden Object,23.42391304347826
Satire,73.5
Casual,58.137599024984766
Female Protagonist,214.2110552763819
Card Game,326.280487804878
Pixel Graphics,247.3574297188755
America,406.5
Superhero,985.2727272727273
Linear,748.5
Bullet Time,135.2
Western,90.95652173913044
Noir,93.92857142857143
Time Management,52.42424242424242
Mythology,415.5
Abstract,0.0
Hockey,8.4
Motorbike,0.0
PvP,177.1
Choose Your Own Adventure,34.41379310344828
World War I,219.56521739130434
Epic,0.0
Comedy,370.3258426966292
Beat 'em up,113.95744680851064
RPGMaker,77.89583333333333
Shoot 'Em Up,73.13469387755102
Perma Death,0.0
3D Vision,0.0
Real-Time with Pause,122.0
Cats,174.73333333333332
Fighting,521.2564102564103
Otome,93.8974358974359
Tactical RPG,94.0
BMX,0.0
Action,83.28453788025577
Strategy,169.55057526366252
Platformer,111.84104938271605
Character Customization,819.6428571428571
3D Platformer,127.52380952380952
Mechs,130.38888888888889
Indie,60.799149775121684
RTS,265.08045977011494
Historical,594.9130434782609
Inventory Management,1073.0
Football,47.5
Music-Based Procedural Generation,0.0
Walking Simulator,75.69090909090909
Visual Novel,128.63369963369962
Robots,163.8181818181818
Mod,0.0
2.5D,0.0
Free to Play,600.1480144404333
Psychological Horror,97.60526315789474
Cyberpunk,136.36206896551724
Trains,56.24324324324324
Trading Card Game,1077.0
Horses,14.666666666666666
Politics,68.63636363636364
RPG,259.4691091954023
Parkour,252.1304347826087
Building,773.0322580645161
Word Game,25.8
Classic,196.4470588235294
Simulation,134.38520097442145
Economy,306.0
Voice Control,0.0
1990's,0.5714285714285714
